modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Actros,Actros_69,32D,2,0.0,247.0,26162.0,26409.0,247.0
Atego,Atego_77,30A,1,0.0,314.0,26108.0,26422.0,314.0
Accelo,Accelo_50,34A,1,3776.0,671.0,25764.0,26435.0,671.0
Atego,Atego_62,33A,1,0.0,428.0,26022.0,26450.0,428.0
Atego,Atego_64,32C,1,3162.0,544.0,26022.0,26566.0,544.0
Atego,Atego_75,32A,1,84.0,414.0,26160.0,26574.0,414.0
Actros,Actros_61,39,2,0.0,354.0,26245.0,26599.0,354.0
Atego (ATP),Atego (ATP)_63,34B,2,1606.0,395.0,26245.0,26640.0,395.0
Atego,Atego_77,31A,1,0.0,314.0,26422.0,26736.0,314.0
Atego,Atego_78,30A,1,0.0,314.0,26438.0,26752.0,314.0
Atego (ATP),Atego (ATP)_63,39,2,0.0,120.0,26640.0,26760.0,120.0
Atego,Atego_76,32A,1,168.0,414.0,26574.0,26988.0,414.0
Atego,Atego_64,33A,1,0.0,428.0,26566.0,26994.0,428.0
Atego,Atego_78,31A,1,0.0,314.0,26752.0,27066.0,314.0
Accelo,Accelo_50,38,1,0.0,633.0,26435.0,27068.0,633.0
Atego,Atego_51,34A,1,3844.0,646.0,26435.0,27081.0,646.0
Atego,Atego_79,30A,1,0.0,314.0,26768.0,27082.0,314.0
Atego,Atego_66,32C,1,3046.0,544.0,26566.0,27110.0,544.0
Actros,Actros_72,32B,2,397.0,965.0,26162.0,27127.0,965.0
Actros,Actros_69,33B,2,0.0,761.0,26409.0,27170.0,761.0
Actros,Actros_72,32D,2,0.0,247.0,27127.0,27374.0,247.0
Atego,Atego_79,31A,1,0.0,314.0,27082.0,27396.0,314.0
Atego,Atego_77,32A,1,252.0,414.0,26988.0,27402.0,414.0
Atego (ATP),Atego (ATP)_80,30B,2,0.0,326.0,27098.0,27424.0,326.0
Atego,Atego_66,33A,1,0.0,428.0,27110.0,27538.0,428.0
Atego,Atego_67,32C,1,3176.0,544.0,27110.0,27654.0,544.0
Atego,Atego_51,38,1,0.0,633.0,27081.0,27714.0,633.0
Atego,Atego_81,30A,1,0.0,314.0,27428.0,27742.0,314.0
Accelo,Accelo_52,34A,1,3988.0,671.0,27081.0,27752.0,671.0
Atego (ATP),Atego (ATP)_80,31B,2,0.0,330.0,27424.0,27754.0,330.0
