modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego,Atego_67,31A,1,0.0,314.0,24020.0,24334.0,314.0
Actros,Actros_65,31B,2,0.0,555.0,23798.0,24353.0,555.0
Atego (ATP),Atego (ATP)_68,30A,1,0.0,326.0,24036.0,24362.0,326.0
Atego (ATP),Atego (ATP)_49,32C,1,4233.0,815.0,23557.0,24372.0,815.0
Atego (ATP),Atego (ATP)_63,32A,1,708.0,677.0,23750.0,24427.0,677.0
Atego quinta roda,Atego quinta roda_64,32B,2,626.0,557.0,23998.0,24555.0,557.0
Atego (ATP),Atego (ATP)_68,31A,1,0.0,330.0,24362.0,24692.0,330.0
Atego (ATP),Atego (ATP)_49,33A,1,0.0,376.0,24372.0,24748.0,376.0
Atego,Atego_66,32A,1,423.0,414.0,24427.0,24841.0,414.0
Atego,Atego_43,38,1,0.0,633.0,24243.0,24876.0,633.0
Atego,Atego_44,34A,1,1380.0,646.0,24243.0,24889.0,646.0
Accelo,Accelo_50,32C,1,4694.0,561.0,24372.0,24933.0,561.0
Accelo,Accelo_70,30A,1,0.0,253.0,24696.0,24949.0,253.0
Actros,Actros_61,33B,2,0.0,761.0,24245.0,25006.0,761.0
Actros,Actros_69,30B,2,0.0,752.0,24366.0,25118.0,752.0
Atego quinta roda,Atego quinta roda_64,32D,2,0.0,588.0,24555.0,25143.0,588.0
Atego,Atego_67,32A,1,507.0,414.0,24841.0,25255.0,414.0
Accelo,Accelo_70,31A,1,0.0,316.0,24949.0,25265.0,316.0
Accelo,Accelo_50,33A,1,0.0,369.0,24933.0,25302.0,369.0
Actros,Actros_57,34B,2,0.0,1623.0,23686.0,25309.0,1623.0
Atego,Atego_71,30A,1,0.0,314.0,25026.0,25340.0,314.0
Accelo,Accelo_52,32C,1,4901.0,561.0,24933.0,25494.0,561.0
Atego quinta roda,Atego quinta roda_64,33B,2,0.0,376.0,25143.0,25519.0,376.0
Actros,Actros_65,32B,2,202.0,965.0,24555.0,25520.0,965.0
Atego,Atego_44,38,1,0.0,633.0,24889.0,25522.0,633.0
Accelo,Accelo_47,34A,1,1524.0,671.0,24889.0,25560.0,671.0
