c.c.;Posto;Descrição;C951102;C951104;C951111;C951500;C951501;C951511;C951514;C951530;C951544;C963403;C963411;C963414;C963424;C963425;C964016;C964231;C964416;C968114;C968403;C968450;C968461
123.4;VHPM29;PRE-MONTAGEM PARACHOQUE AXOR           ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,98;33,00;34,00;30,98;30,98;36,46;36,46;36,46;0,00;0,00;31,80;31,80
123.4;VHPM30;PRE MONTAGEM DO CAPO                   ;8,39;6,89;6,89;4,48;3,48;4,48;4,48;4,48;4,48;6,00;0,00;0,00;6,00;6,00;25,98;12,02;24,00;3,48;3,48;3,48;3,48
123.4;VHLP18;ENTRADA CHASSI CIRCUITO 2     ;4,98;4,98;4,98;6,00;6,00;6,00;6,00;6,00;6,00;3,54;4,19;4,19;3,54;3,54;0,65;1,50;0,65;0,00;0,00;0,65;0,65
123.4;VHLP19;CAIXA BATERIA E CATALIZADOR   ;4,50;9,02;11,02;14,18;15,18;14,18;16,18;14,37;17,85;15,00;11,04;10,04;11,50;11,50;18,54;27,30;16,54;10,08;13,08;11,04;11,04
123.4;VHLP20;BATERIA E TUBULACAO HIDRAULICA;24,94;19,94;24,44;13,43;11,73;9,93;12,93;25,74;12,67;33,14;38,12;36,46;33,14;33,14;23,30;28,64;38,24;17,61;21,11;24,72;28,72
123.4;VHLP21;PREPARACAO DESCIDA DO MOTOR   ;4,52;6,52;4,52;2,52;5,52;3,52;5,52;5,00;4,52;22,16;19,94;16,94;23,96;24,16;19,64;25,84;19,64;5,84;7,86;6,34;8,34
123.4;VHLP22;DESCIDA/MONTAGEM DO MOTOR               ;12,90;17,32;17,32;20,57;14,13;14,13;21,27;21,27;21,27;16,32;17,04;15,02;25,34;25,34;14,02;22,02;19,56;26,24;12,22;14,74;12,74
123.4;VHLP23;FIXACOES MOTOR E CARDAN                 ;19,07;16,07;16,07;21,74;27,02;30,04;22,86;26,01;24,82;11,29;7,14;8,58;12,73;11,79;9,88;10,44;15,08;12,86;11,42;7,73;6,29
123.4;VHLP24;TRAVA DA CABINA                         ;16,01;16,01;16,01;32,02;41,02;41,02;32,02;42,88;39,46;30,50;38,50;41,98;30,50;30,50;28,00;26,00;35,00;22,88;13,60;38,98;40,98
123.4;VHLP25;TANQUE DE COMBUSTIVEL/PARALAMA DA CABINA;22,82;22,82;22,82;18,72;18,72;17,72;20,72;22,22;29,00;69,86;69,14;70,66;73,94;65,96;55,82;40,18;56,24;6,35;17,85;25,40;25,40
123.4;VHLP26;DESCIDA DA CABINA                       ;21,15;21,15;21,15;22,98;21,98;21,98;20,98;20,98;21,98;100,56;74,58;78,10;100,56;100,56;59,76;51,26;60,26;24,72;25,72;39,26;39,26
123.4;VHLP27;FIXACOES DA CABINA                      ;34,78;34,78;34,78;24,35;24,35;26,25;26,25;26,25;26,25;40,69;37,69;39,99;42,69;46,47;54,80;67,22;68,32;15,79;15,79;11,84;11,57
123.4;VHLP28;PARA-CHOQUE                             ;14,15;13,15;13,15;4,25;4,25;4,25;5,60;5,60;4,25;36,56;36,66;37,86;37,76;37,76;32,50;40,50;32,00;4,90;3,05;17,00;18,30
123.4;VHLP29;ESTRIBOS                                ;11,48;11,48;11,48;10,95;10,95;10,95;4,97;12,23;10,95;20,00;24,42;21,92;19,90;29,40;14,90;13,90;20,42;4,97;5,97;6,50;14,90
123.4;VHLP30;BIFURCACAO                              ;2,50;2,50;2,50;9,89;10,83;10,83;11,62;11,10;15,61;24,44;27,46;20,44;24,44;24,44;25,44;10,44;22,44;14,52;14,52;24,46;24,46
123.4;VHLP31;ABASTECIMENTO DE FLUIDOS                ;35,30;35,30;35,30;56,68;52,30;51,50;63,50;63,50;72,75;19,61;23,11;27,64;19,61;19,61;22,65;17,63;21,13;52,37;58,12;19,61;19,61
123.4;VHLP32;QUINTA RODA E PARALAMA                  ;3,62;3,62;4,12;4,26;4,26;4,26;5,30;8,52;4,26;50,81;42,31;42,31;56,81;56,81;45,31;38,81;45,39;29,77;57,58;64,33;58,33
123.4;VHLP33;MONTAGEM DE PNEU                        ;32,70;39,40;35,20;8,36;16,08;10,30;11,98;24,46;31,29;97,80;105,02;105,74;101,37;103,52;108,78;110,87;102,78;106,80;96,14;96,30;102,02
123.4;VHLP34;FIXACAO DA RODA             ;11,60;13,05;13,05;24,52;24,52;30,52;31,72;44,01;41,62;132,65;108,15;126,07;120,77;116,69;88,43;98,53;111,71;129,61;146,03;164,63;199,17
123.4;VHLP35;DESACOPLAMENTO (PLATAFORMA) ;15,12;15,12;15,12;15,42;15,42;19,20;19,20;19,20;19,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
123.4;VHSQ22;SEQUENCIAMENTO DE BATERIA + AMORTECEDOR;1,10;1,10;1,10;3,50;3,50;3,50;3,50;3,50;3,50;5,52;5,52;5,52;5,52;5,52;6,02;40,52;5,52;8,02;8,02;5,52;5,52
123.4;VHSQ25;SEQUENCIAMENTO PARALAMA DA CABINA      ;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;4,10;4,10;4,10;4,10;4,10;9,10;20,10;5,10;4,10;4,10;4,10;4,10
123.4;VHSQ30;SEQUENCIAMENTO KIT ZONE III            ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;3,00
123.4;VHSQ31;SEQUENCIAMENTO ESTRIBOS                ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,52;7,52;7,52;7,52;7,52;0,00;0,00;0,00;0,00;0,00;7,52;7,52
123.4;VHSQ32;SEQUENCIAMENTO PARALAMA / FILTRO DE AR ;2,40;2,40;2,40;2,35;2,35;0,85;5,65;7,65;2,85;5,10;14,94;17,94;9,70;9,70;0,00;0,00;0,00;0,00;4,60;12,52;26,06
123.4;VHSQ33;SEQUENCIAMENTO GRADE FRONTAL           ;0,95;0,95;0,95;0,90;0,90;0,90;0,90;0,90;0,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
123.4;VHSQ34;SEQUENCIAMENTO TAMPA DE BATERIA        ;0,50;0,50;0,50;2,20;2,20;2,20;2,20;2,80;2,20;1,00;5,50;5,50;1,00;1,00;5,50;1,00;4,00;2,00;2,60;5,50;5,50
123.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,50;0,00;0,00;0,00;0,00
125.4;;;36,98;36,98;59,68;109,79;101,81;149,53;101,17;246,48;189,65;117,58;162,52;102,52;117,58;102,52;18,78;131,98;18,78;117,58;117,58;177,58;162,52
125.4;VHLB01;REGULAGEM DA SUSPENSAO PNEUMATICA                ;18,80;18,80;18,80;24,00;24,00;19,98;21,48;1,50;12,00;73,32;71,28;71,28;73,32;71,28;70,50;70,50;70,50;49,12;49,12;73,32;71,28
125.4;VHLB02;ALINHAMENTO DO EIXO / VOLANTE / FAROL            ;8,70;8,70;8,70;27,40;27,40;25,36;25,90;24,88;27,40;19,20;18,18;18,18;19,20;17,16;39,60;39,60;39,60;34,60;34,60;34,60;33,58
125.4;VHLB03;TESTE DE ROLOS                                   ;14,94;14,94;14,94;12,00;12,00;11,00;10,00;11,50;12,00;59,10;54,26;54,26;59,10;53,30;27,18;27,18;27,18;59,10;59,10;59,10;54,26
125.4;VHLB04;APAERTO DO VOLANTE / VALETA / VISTORIA ELETRONICA;9,60;9,60;9,60;12,00;12,00;10,00;11,00;15,10;12,00;22,02;21,00;21,00;22,02;22,02;22,02;22,02;22,02;22,02;22,02;22,02;21,00
125.4;VHLB05;VAZAM. DE AR / CABINA BASCULADA                  ;0,00;0,00;0,00;17,00;17,00;15,00;15,00;0,00;18,00;31,98;31,02;31,02;31,98;31,98;31,98;31,98;31,98;31,98;31,98;31,98;31,02
